code,checkpoint,stage,kind,readings,duration_sample_to_number,people,production_waits,notice_needed,notes
LAB-RM-01,Raw material / bagasse weighment,PRE-H0,RECORD,Moisture · pH · Dry weight,,,,,
LAB-WET-01,Bagasse wetting — first hopper pass,0A,RECORD,Moisture · pH · EC,,,,,
LAB-WET-02,Second hopper pass,0A,RECORD,Moisture · pH · EC,,,,,
LAB-BNK-PRE,Before first bunker loading,0A→0B,GATE,Moisture · pH · EC,,,,,
LAB-UNL-01,Bunker unloading,0C,RECORD,Moisture · pH · EC,,,,,
LAB-HOP-PRE,Before hopper pass,0C,RECORD,Moisture · pH · EC,,,,,
LAB-RLD-01,Reloading to new bunker,0C,RECORD,Moisture · pH · EC,,,,,
LAB-CM-ARR,Chicken manure — on arrival,1A,RECORD,Moisture · pH · Nitrogen · Ash,,,,,
LAB-CM-USE,Chicken manure — before use in mixing,1A→1B,GATE,Moisture · pH · Nitrogen · Ash,,,,,
LAB-MOIST-DEC,Moisture decision point,0C→1B,DECISION,Moisture,,,,,
LAB-PDY-WGH,Paddy weighment,1C-A,RECORD,Moisture · Dry weight,,,,,
LAB-PDY-S1,Paddy soak 1 — pit water,1C-A,RECORD,pH · EC · TDS,,,,,
LAB-PDY-S2,Paddy soak 2 — pit water,1C-A,RECORD,pH · EC · TDS,,,,,
LAB-PDY-S3,Paddy soak 3 — pit water,1C-A,RECORD,pH · EC · TDS,,,,,
LAB-PRE-T,Pre-Turner check,1C-B,RECORD,Moisture · pH,,,,,
LAB-T1-PRE,Moisture before T1,Turner,RECORD,Moisture,,,,,
LAB-T1-POST,Moisture after T1,Turner,RECORD,Moisture,,,,,
LAB-BNK-LOAD,Bunker loading,1C,GATE,Bunker height · pH · EC · Moisture · Nitrogen · Ash · C:N ratio · Smell · Colour · Spring / squeeze test,,,,,
LAB-RLD-UNL,Bunker unloading — reload 1,1D-A,RECORD,Shrunken height · Moisture,,,,,
LAB-RLD-RE,Bunker reloading — reload 1,1D-A,RECORD,pH · EC · Moisture · Nitrogen · Ash · C:N ratio · Smell · Colour · Spring / squeeze test,,,,,
LAB-RLD2-UNL,Bunker unloading — reload 2,1D-B,RECORD,Shrunken height · Moisture,,,,,
LAB-RLD2-RE,Bunker reloading — reload 2,1D-B,RECORD,pH · EC · Moisture · Nitrogen · Ash · C:N ratio · Smell · Colour · Spring / squeeze test,,,,,
LAB-TUN-PRE,Tunnel readiness,2A,RECORD,Tunnel height,,,,,
LAB-TUN-LOAD,Tunnel loading,2B,GATE,pH · EC · Moisture · Nitrogen · Ash · C:N ratio · Smell · Colour · Spring / squeeze test,,,,,
LAB-QC-FINAL,Final QC — tunnel unloading,2D,RECORD,pH · EC · Moisture · Nitrogen · Ash · C:N ratio · Shrunken height · Actinomycetes · Smell · Colour · Spring / squeeze test,,,,,
