id,section,urgency,question,answer,answered_by,date
A-1,"A · One batch, end to end",TONIGHT,"Walk one batch from start to finish from the laboratory’s side. What is the first thing you do, and the last?",,,
A-2,"A · One batch, end to end",TONIGHT,"How many times does the laboratory get involved in one batch? Roughly, not exactly.",,,
A-3,"A · One batch, end to end",TONIGHT,"Across the whole batch, how many hours of laboratory work is that in total?",,,
A-4,"A · One batch, end to end",TONIGHT,"Which of those involvements is the longest, and how long?",,,
A-5,"A · One batch, end to end",TONIGHT,Which one is the most likely to make production wait?,,,
A-6,"A · One batch, end to end",WEEK 1,"Is the pattern the same for every batch, or does it change with the season or the raw material?",,,
A-7,"A · One batch, end to end",WEEK 1,How many days of the 20 does the laboratory touch the batch at all? Which days are quiet?,,,
A-8,"A · One batch, end to end",WEEK 1,Is there a day where the laboratory is doing several things for the same batch at once?,,,
A-9,"A · One batch, end to end",WEEK 1,What does a normal day look like when two batches are running?,,,
A-10,"A · One batch, end to end",WEEK 1,"Is any part of the batch handled by someone other than the laboratory — production taking its own reading, for example?",,,
A-11,"A · One batch, end to end",LATER,"What does the laboratory do for a batch that nobody has asked for, but that is done anyway?",,,
A-12,"A · One batch, end to end",LATER,What part of the batch does the laboratory feel it has no visibility of?,,,
B-1,B · How long each test takes,TONIGHT,"Moisture: how long from sample in hand to a number, start to finish?",,,
B-2,B · How long each test takes,TONIGHT,pH: how long?,,,
B-3,B · How long each test takes,TONIGHT,EC: how long?,,,
B-4,B · How long each test takes,TONIGHT,TDS: how long?,,,
B-5,B · How long each test takes,TONIGHT,Nitrogen: how long?,,,
B-6,B · How long each test takes,TONIGHT,Ash: how long?,,,
B-7,B · How long each test takes,TONIGHT,"C:N — is it calculated from the above, or is it its own test with its own time?",,,
B-8,B · How long each test takes,TONIGHT,Dry weight: how long?,,,
B-9,B · How long each test takes,TONIGHT,"The visual checks — smell, colour, squeeze, actinomycetes: how long, together?",,,
B-10,B · How long each test takes,TONIGHT,"Heights — bunker, tunnel, shrunken: how long, and is it the laboratory that measures them or production?",,,
B-11,B · How long each test takes,WEEK 1,"For each of the above: how much of that time is the machine working, and how much is a person working?",,,
B-12,B · How long each test takes,WEEK 1,Which of these can be left running unattended while something else is done?,,,
B-13,B · How long each test takes,WEEK 1,Which of these needs the technician to stand there for the whole time?,,,
B-14,B · How long each test takes,WEEK 1,"If all the tests at one checkpoint are done together, is the total the sum of the parts, or less?",,,
B-15,B · How long each test takes,WEEK 1,Is the time different for the first sample of the day versus the fifth?,,,
B-16,B · How long each test takes,LATER,"Which test would you most like to be faster, and what makes it slow?",,,
C-1,C · From sample to number — the gap that decides everything,TONIGHT,For each checkpoint: how long between the sample being taken and production being told the answer?,,,
C-2,C · From sample to number — the gap that decides everything,TONIGHT,"Is that gap minutes, hours, or the next morning? Give the honest normal, not the best case.",,,
C-3,C · From sample to number — the gap that decides everything,TONIGHT,Which checkpoints have a gap long enough that production has already moved on by the time the number exists?,,,
C-4,C · From sample to number — the gap that decides everything,TONIGHT,"Is production ever waiting, physically standing there, for a laboratory number? Which checkpoints?",,,
C-5,C · From sample to number — the gap that decides everything,WEEK 1,"When production is waiting, what is the longest it has actually waited?",,,
C-6,C · From sample to number — the gap that decides everything,WEEK 1,"Is the sample taken as soon as the material is ready, or at a fixed time?",,,
C-7,C · From sample to number — the gap that decides everything,WEEK 1,How long can a sample sit before it is tested without the number changing?,,,
C-8,C · From sample to number — the gap that decides everything,WEEK 1,Does the answer to that differ by test? Moisture especially.,,,
C-9,C · From sample to number — the gap that decides everything,WEEK 1,Is the number ever given verbally before it is written down anywhere?,,,
C-10,C · From sample to number — the gap that decides everything,WEEK 1,"How much earlier could the laboratory be told a sample is coming, and would that help?",,,
C-11,C · From sample to number — the gap that decides everything,LATER,"If the laboratory knew the whole day’s sampling schedule at 6am, what would change?",,,
C-12,C · From sample to number — the gap that decides everything,LATER,"Which gap, if halved, would make the biggest difference to production?",,,
D-1,D · Sequence and dependencies — what waits on what,TONIGHT,Which laboratory results must exist before production can move to the next step? Name them.,,,
D-2,D · Sequence and dependencies — what waits on what,TONIGHT,"For each of those, what physically happens if the result is not there yet — does the material sit, or does work continue?",,,
